Link_Text,Link_URL
liputan6,https://www.liputan6.com
,https://www.liputan6.com
Home,https://www.liputan6.com
News,https://www.liputan6.com/news
Pemilu,https://www.liputan6.com/pemilu
Bisnis,https://www.liputan6.com/bisnis
Bola,https://www.liputan6.com/bola
TV,https://www.liputan6.com/tv
ShowBiz,https://www.liputan6.com/showbiz
Tekno,https://www.liputan6.com/tekno
Foto,https://www.liputan6.com/photo
Hot,https://www.liputan6.com/hot
Cek Fakta,https://www.liputan6.com/cek-fakta
Islami,https://www.liputan6.com/islami
Crypto,https://www.liputan6.com/crypto
Citizen6,https://www.liputan6.com/citizen6
Saham,https://www.liputan6.com/saham
Regional,https://www.liputan6.com/regional
Otomotif,https://www.liputan6.com/otomotif
Opini,https://www.liputan6.com/opini
Disabilitas,https://www.liputan6.com/disabilitas
Global,https://www.liputan6.com/global
On Off,https://www.liputan6.com/on-off
Surabaya,https://www.liputan6.com/surabaya
Lifestyle,https://www.liputan6.com/lifestyle
Health,https://www.liputan6.com/health
Video,https://enamplus.liputan6.com
,
News,https://www.liputan6.com/news
,#
Politik,https://www.liputan6.com/news/politik
Peristiwa,https://www.liputan6.com/news/peristiwa
Megapolitan,https://www.liputan6.com/news/megapolitan
Rajut,https://www.liputan6.com/news/rajut
Liputan Khusus,https://www.liputan6.com/news/liputankhusus
Infografis,https://www.liputan6.com/news/infografis
Zona MPR RI,https://www.liputan6.com/news/zona-mpr-ri
Warta DPR,https://www.liputan6.com/news/warta-dpr
,#
"HEADLINE HARI INIIndonesia Cetak Rekor Rebut 14 Medali di Paralimpiade Paris 2024, Pembinaan Berlanjut?",https://www.liputan6.com/bola/read/5697611/indonesia-cetak-rekor-rebut-14-medali-di-paralimpiade-paris-2024-pembinaan-berlanjut
,https://www.liputan6.com/news/read/5698617/budi-arie-sebut-jokowi-cocok-jadi-wantimpres-di-pemerintahan-prabowo-gibran
Budi Arie Sebut Jokowi Cocok Jadi Wantimpres di Pemerintahan Prabowo-Gibran,https://www.liputan6.com/news/read/5698617/budi-arie-sebut-jokowi-cocok-jadi-wantimpres-di-pemerintahan-prabowo-gibran
10 Sep 2024 18:00Puan Maharani Sebut DPR Bisa Rampungkan 2 Revisi Undang-Undang di Periode Ini,https://www.liputan6.com/news/read/5698561/puan-maharani-sebut-dpr-bisa-rampungkan-2-revisi-undang-undang-di-periode-ini
"10 Sep 2024 16:10Bukan DPA, Dewan Pertimbangan Presiden Berubah Jadi Wantimpres Republik Indonesia",https://www.liputan6.com/news/read/5698503/bukan-dpa-dewan-pertimbangan-presiden-berubah-jadi-wantimpres-republik-indonesia
GIBRAN CAWAPRES PRABOWO,https://www.liputan6.com/tag/gibran-rakabuming-raka?HouseAds&campaign=GibranRakabumingRaka_News_STM
Menkominfo Budi Arie: Pemilik Akun Fufufafa Bukan Gibran Rakabuming Raka,https://www.liputan6.com/news/read/5698570/menkominfo-budi-arie-pemilik-akun-fufufafa-bukan-gibran-rakabuming-raka
Kata PDIP Soal SK Kepengurusan DPP Digugat ke PTUN,https://www.liputan6.com/news/read/5698353/kata-pdip-soal-sk-kepengurusan-dpp-digugat-ke-ptun
Top 3 News: Ini Respons Rocky Gerung Dilaporkan ke Polisi Lantaran Ucapannya soal Gibran,https://www.liputan6.com/news/read/5696800/top-3-news-ini-respons-rocky-gerung-dilaporkan-ke-polisi-lantaran-ucapannya-soal-gibran
,https://www.liputan6.com/news/read/5698434/anies-ungkap-perkembangan-wacana-bentuk-parpol-sedang-dikaji
Politik,https://www.liputan6.com/news/politik
Anies Ungkap Perkembangan Wacana Bentuk Parpol: Sedang Dikaji,https://www.liputan6.com/news/read/5698434/anies-ungkap-perkembangan-wacana-bentuk-parpol-sedang-dikaji
,https://www.liputan6.com/news/read/5698282/puan-pastikan-pertemuan-megawati-prabowo-segera-terlaksana
Politik,https://www.liputan6.com/news/politik
Puan Pastikan Pertemuan Megawati-Prabowo Segera Terlaksana,https://www.liputan6.com/news/read/5698282/puan-pastikan-pertemuan-megawati-prabowo-segera-terlaksana
,https://www.liputan6.com/news/read/5698309/vonis-syl-diperberat-jadi-12-tahun-penjara
Politik,https://www.liputan6.com/news/politik
Vonis SYL Diperberat Jadi 12 Tahun Penjara,https://www.liputan6.com/news/read/5698309/vonis-syl-diperberat-jadi-12-tahun-penjara
,https://www.liputan6.com/news/read/5697521/curhat-sby-23-tahun-demokrat-bertahan-dari-gempuran-badai-politik
Politik,https://www.liputan6.com/news/politik
Curhat SBY 23 Tahun Demokrat Bertahan dari Gempuran Badai Politik,https://www.liputan6.com/news/read/5697521/curhat-sby-23-tahun-demokrat-bertahan-dari-gempuran-badai-politik
,https://www.liputan6.com/news/read/5698218/kpk-pertimbangkan-jemput-paksa-bos-mineral-trobos-di-kasus-tppu-eks-gubernur-malut
Politik,https://www.liputan6.com/news/politik
KPK Pertimbangkan Jemput Paksa Bos Mineral Trobos di Kasus TPPU Eks Gubernur Malut,https://www.liputan6.com/news/read/5698218/kpk-pertimbangkan-jemput-paksa-bos-mineral-trobos-di-kasus-tppu-eks-gubernur-malut
,https://www.liputan6.com/news/read/5698045/dpr-berharap-pembatasan-subsidi-bbm-tepat-sasaran
Politik,https://www.liputan6.com/news/politik
DPR Berharap Pembatasan Subsidi BBM Tepat Sasaran,https://www.liputan6.com/news/read/5698045/dpr-berharap-pembatasan-subsidi-bbm-tepat-sasaran
,javascript:void(0)
,https://www.liputan6.com/news/read/5698712/sby-sebut-prabowo-punya-agenda-yang-tepat-sasaran-untuk-majukan-rakyat-indonesia
Politik,https://www.liputan6.com/news/politik
SBY Sebut Prabowo Punya Agenda yang Tepat Sasaran untuk Majukan Rakyat Indonesia,https://www.liputan6.com/news/read/5698712/sby-sebut-prabowo-punya-agenda-yang-tepat-sasaran-untuk-majukan-rakyat-indonesia
,https://www.liputan6.com/news/read/5697772/dpr-pemerintah-sepakat-ruu-kementerian-negara-dibawa-ke-paripurna
Politik,https://www.liputan6.com/news/politik
DPR-Pemerintah Sepakat RUU Kementerian Negara Dibawa ke Paripurna,https://www.liputan6.com/news/read/5697772/dpr-pemerintah-sepakat-ruu-kementerian-negara-dibawa-ke-paripurna
,https://www.liputan6.com/news/read/5697688/4-hal-yang-disampaikan-sby-saat-syukuran-hut-partai-demokrat-curhat-10-tahun-di-luar-kekuasaan
Politik,https://www.liputan6.com/news/politik
"4 Hal yang Disampaikan SBY saat Syukuran HUT Partai Demokrat, Curhat 10 Tahun di Luar Keku...",https://www.liputan6.com/news/read/5697688/4-hal-yang-disampaikan-sby-saat-syukuran-hut-partai-demokrat-curhat-10-tahun-di-luar-kekuasaan
