Link_Text,Link_URL
,https://www.okezone.com/
News,https://news.okezone.com/
Finance,https://economy.okezone.com/
Lifestyle,https://lifestyle.okezone.com/
Celebrity,https://celebrity.okezone.com/
Bola,https://bola.okezone.com/
Sports,https://sports.okezone.com/
Travel,https://travel.okezone.com/
Highend,https://highend-magazine.okezone.com/
Muslim,https://muslim.okezone.com/
Haji,https://haji.okezone.com/
Edukasi,https://edukasi.okezone.com/
Health,https://health.okezone.com/
Techno,https://techno.okezone.com/
Otomotif,https://otomotif.okezone.com/
Infografis,https://infografis.okezone.com/
Foto,https://foto.okezone.com/
Video,https://video.okezone.com/
Indeks,http://index.okezone.com/
OKEZONE TV,http://tv.okezone.com/
OKEZONE RADIO,http://tv.okezone.com/radio/jakarta
Booking Hotel,http://www.misteraladin.com/
Asuransi Kendaraan,http://www.mnc-insurance.com
"

												Facebook
											",https://www.facebook.com/OkezoneCom/
"

												Twitter
											",https://twitter.com/okezonenews
"

												Google +
											",https://plus.google.com/u/0/+okezone
"

												Instagram
											",https://www.instagram.com/okezonecom/
,https://www.okezone.com/
News,https://news.okezone.com/
Finance,https://economy.okezone.com/
Lifestyle,https://lifestyle.okezone.com/
Celebrity,https://celebrity.okezone.com/
Bola,https://bola.okezone.com/
Sports,https://sports.okezone.com/
Travel,https://travel.okezone.com/
Highend,https://highend-magazine.okezone.com/
Muslim,https://muslim.okezone.com/
Haji,https://haji.okezone.com/
Edukasi,https://edukasi.okezone.com/
Health,https://health.okezone.com/
Techno,https://techno.okezone.com/
Otomotif,https://otomotif.okezone.com/
Infografis,https://infografis.okezone.com/
Foto,https://foto.okezone.com/
Video,https://video.okezone.com/
Indeks,http://index.okezone.com/
home,https://sports.okezone.com/
f1,https://sports.okezone.com/f1
moto gp,https://sports.okezone.com/motogp
netting,https://sports.okezone.com/netting
basket,https://sports.okezone.com/basket
sport lain,https://sports.okezone.com/sportlain
foto,https://sports.okezone.com/foto
video,https://sports.okezone.com/video
indeks,https://sports.okezone.com/indeks
"

sports.okezone.com


",https://sports.okezone.com/
home,https://sports.okezone.com/
f1,https://sports.okezone.com/f1
moto gp,https://sports.okezone.com/motogp
netting,https://sports.okezone.com/netting
basket,https://sports.okezone.com/basket
sport lain,https://sports.okezone.com/sportlain
foto,https://sports.okezone.com/foto
video,https://sports.okezone.com/video
indeks,https://sports.okezone.com/indeks
,https://sports.okezone.com/read/2024/09/10/43/3061204/ikn-ramaikan-pon-xxi-aceh-sumut-2024-kirim-12-atlet
SPORT LAIN,https://sports.okezone.com/read/2024/09/10/43/3061204/ikn-ramaikan-pon-xxi-aceh-sumut-2024-kirim-12-atlet
IKN Ramaikan PON XXI Aceh-Sumut 2024: Kirim 12 Atlet!,https://sports.okezone.com/read/2024/09/10/43/3061204/ikn-ramaikan-pon-xxi-aceh-sumut-2024-kirim-12-atlet
"Perdana, Atlet Ibu Kota Nusantara Ikuti PON XXI Aceh-Sumut 2024.",https://sports.okezone.com/read/2024/09/10/43/3061204/ikn-ramaikan-pon-xxi-aceh-sumut-2024-kirim-12-atlet
"

",https://sports.okezone.com/read/2024/09/10/40/3061070/kisah-flandy-limpele-pelatih-indonesia-yang-sukses-besar-saat-melatih-di-malaysia-dan-india
NETTING,https://sports.okezone.com/read/2024/09/10/40/3061070/kisah-flandy-limpele-pelatih-indonesia-yang-sukses-besar-saat-melatih-di-malaysia-dan-india
"Kisah Flandy Limpele, Pelatih Indonesia yang Sukses Besar saat Melatih di Malaysia dan India",https://sports.okezone.com/read/2024/09/10/40/3061070/kisah-flandy-limpele-pelatih-indonesia-yang-sukses-besar-saat-melatih-di-malaysia-dan-india
"

",https://sports.okezone.com/read/2024/09/10/43/3060979/klasemen-sementara-perolehan-medali-pon-xxi-aceh-sumut-2024-selasa-10-september-2024-pukul-12-00-wib-jawa-timur-tak-tersentuh-di-puncak-tuan-rumah-di-5-besar
SPORT LAIN,https://sports.okezone.com/read/2024/09/10/43/3060979/klasemen-sementara-perolehan-medali-pon-xxi-aceh-sumut-2024-selasa-10-september-2024-pukul-12-00-wib-jawa-timur-tak-tersentuh-di-puncak-tuan-rumah-di-5-besar
"Klasemen Sementara Perolehan Medali PON XXI Aceh-Sumut 2024, Selasa 10 September 2024 Pukul 12.00 WIB: Jawa Timur Tak Tersentuh di Puncak, Tuan Rumah di 5 Besar",https://sports.okezone.com/read/2024/09/10/43/3060979/klasemen-sementara-perolehan-medali-pon-xxi-aceh-sumut-2024-selasa-10-september-2024-pukul-12-00-wib-jawa-timur-tak-tersentuh-di-puncak-tuan-rumah-di-5-besar
"

",https://sports.okezone.com/read/2024/09/10/43/3060873/klasemen-sementara-perolehan-medali-pon-xxi-aceh-sumut-2024-selasa-10-september-2024-pukul-07-00-wib-aceh-di-posisi-3-dipepet-ketat-sumatera-utara
SPORT LAIN,https://sports.okezone.com/read/2024/09/10/43/3060873/klasemen-sementara-perolehan-medali-pon-xxi-aceh-sumut-2024-selasa-10-september-2024-pukul-07-00-wib-aceh-di-posisi-3-dipepet-ketat-sumatera-utara
